,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,active_hosp,active_home,Date
1,153.0,15.0,0.0,2.0,,,2231.0,255.0,198.0,26.0,31.0,733.0,1930096.0,564875.0,56.0,,,12.04.2020
2,115.0,33.0,1.0,2.0,4.0,,2346.0,278.0,218.0,27.0,33.0,751.0,2152692.0,633618.0,201.0,,,13.04.2020
3,157.0,44.0,1.0,4.0,6.0,,2503.0,322.0,260.0,28.0,34.0,743.0,2355472.0,701736.0,87.0,,,14.04.2020
4,220.0,55.0,1.0,4.0,5.0,,2723.0,377.0,307.0,29.0,41.0,795.0,2576501.0,773284.0,110.0,,,15.04.2020
5,265.0,65.0,0.0,5.0,7.0,,2988.0,442.0,367.0,29.0,46.0,796.0,2798651.0,844189.0,141.0,,,16.04.2020
6,256.0,59.0,4.0,3.0,10.0,,3244.0,501.0,421.0,33.0,47.0,763.0,3092727.0,923870.0,89.0,,,17.04.2020
7,362.0,43.0,4.0,2.0,8.0,,3606.0,544.0,459.0,37.0,48.0,,,,,,,18.04.2020
8,181.0,42.0,18.0,0.0,15.0,,3787.0,586.0,482.0,55.0,49.0,,,,,,,19.04.2020
9,182.0,80.0,13.0,0.0,14.0,,3969.0,666.0,548.0,68.0,50.0,739.0,3737021.0,1083265.0,140.0,,,20.04.2020
10,340.0,42.0,19.0,2.0,15.0,,4309.0,708.0,569.0,87.0,52.0,750.0,3981330.0,1159283.0,131.0,,,21.04.2020
11,562.0,64.0,35.0,4.0,26.0,,4871.0,772.0,594.0,122.0,56.0,754.0,4063784.0,1234470.0,106.0,,,22.04.2020
12,667.0,104.0,8.0,4.0,36.0,,5538.0,876.0,686.0,130.0,60.0,474.0,4298516.0,1308879.0,95.0,,,23.04.2020
13,367.0,72.0,6.0,5.0,44.0,5.0,7230.0,1139.0,768.0,165.0,72.0,,,,,,,26.04.2020
