Goa,Gujarat,Maharashtra,DNH,Rajasthan
12.8,319.5,428.6,18.6,234.1
13.7,316.7,419.6,18.2,240.2
12.6,301.9,395.8,16.7,239.8
13.0,313.2,411.1,17.6,239.1
12.9,320.7,408.6,18.6,240.4
12.7,319.4,408.1,18.3,241.9
10.9,307.9,398.2,18.1,237.2
12.1,260.0,400.9,18.0,197.0
12.1,268.3,409.7,17.8,199.9
12.1,275.0,405.2,16.9,187.7
12.2,294.1,421.8,17.6,189.9
12.4,301.2,408.3,17.6,186.9
12.4,305.6,406.3,18.5,195.2
12.4,290.5,392.1,17.3,185.4
11.3,299.5,377.1,18.9,175.3
11.3,282.0,368.4,18.4,197.2
11.3,269.1,360.8,18.3,209.8
11.8,260.2,371.2,18.1,197.6
11.8,273.8,362.4,17.7,197.6
11.8,276.7,356.6,17.9,189.7
8.2,263.5,330.8,16.3,191.9
13.5,391.4,499.4,18.9,227.2
13.5,385.3,508.9,18.8,231.6
13.5,380.2,456.0,17.4,232.4
13.5,380.6,485.9,18.1,229.6
13.5,379.4,485.2,18.2,226.9
11.6,377.9,485.1,18.3,222.4
10.7,362.8,475.9,18.2,223.8
10.1,229.6,320.1,14.0,188.1
10.1,234.9,350.4,15.3,201.3
12.3,261.5,360.6,17.0,209.7
12.3,282.1,362.2,17.2,210.8
12.3,278.5,360.6,17.2,205.0
12.3,261.9,357.5,17.2,202.4
9.8,317.3,394.1,17.9,232.8
11.5,322.3,399.5,18.2,236.7
11.5,321.8,405.3,18.1,237.0
11.5,326.9,403.4,18.1,235.2
11.5,322.6,399.3,17.6,236.6
11.5,319.9,403.5,17.9,234.3
11.9,312.3,392.4,17.8,232.0
12.4,385.7,509.5,14.6,248.1
11.8,391.1,516.4,17.4,257.9
12.3,389.9,515.8,16.7,256.2
12.3,394.1,509.6,17.8,250.0
12.3,392.8,505.9,16.5,255.7
12.3,393.0,500.6,17.2,261.6
12.3,376.2,489.6,16.3,260.2
9.8,332.4,454.7,17.2,238.4
10.2,338.0,467.0,18.9,240.6
10.2,330.5,461.9,18.8,240.9
10.0,327.8,454.7,18.7,240.9
9.2,330.4,448.3,18.4,243.6
10.6,324.0,443.4,17.8,243.7
9.1,316.4,435.6,17.8,242.5
10.2,319.9,423.5,18.8,229.7
10.2,313.0,429.0,18.8,232.4
